TABLE_NAME,COLUMN_NAME,DATA_TYPE,IS_NULLABLE,CHARACTER_MAXIMUM_LENGTH
----------,-----------,---------,-----------,------------------------
__EFMigrationsHistory,MigrationId,nvarchar,NO,150
__EFMigrationsHistory,ProductVersion,nvarchar,NO,32
AppUser,CreatedAt,datetime2,NO,NULL
AppUser,Email,nvarchar,NO,-1
AppUser,FullName,nvarchar,NO,-1
AppUser,PasswordHash,nvarchar,NO,-1
AppUser,RoleId,int,NO,NULL
AppUser,Status,nvarchar,NO,-1
AppUser,UserId,int,NO,NULL
AppUser,Username,nvarchar,NO,-1
Bet,Amount,decimal,NO,NULL
Bet,CreatedAt,datetime2,NO,NULL
Bet,HorseId,int,NO,NULL
Bet,Id,int,NO,NULL
Bet,Odds,decimal,NO,NULL
Bet,RaceId,bigint,NO,NULL
Bet,Status,nvarchar,NO,-1
Bet,UserId,int,NO,NULL
Horse,Age,int,NO,NULL
Horse,Breed,nvarchar,NO,-1
Horse,Gender,nvarchar,NO,-1
Horse,HealthStatus,nvarchar,NO,-1
Horse,Id,int,NO,NULL
Horse,Name,nvarchar,NO,-1
Horse,OwnerId,int,NO,NULL
HorseDocument,DocumentType,nvarchar,NO,-1
HorseDocument,DocumentUrl,nvarchar,NO,-1
HorseDocument,HorseId,int,NO,NULL
HorseDocument,Id,int,NO,NULL
HorseDocument,UploadedAt,datetime2,NO,NULL
HorseStatistic,AverageSpeed,decimal,NO,NULL
HorseStatistic,HorseId,int,NO,NULL
HorseStatistic,Id,int,NO,NULL
HorseStatistic,TotalRaces,int,NO,NULL
HorseStatistic,TotalSecondPlaces,int,NO,NULL
HorseStatistic,TotalThirdPlaces,int,NO,NULL
HorseStatistic,TotalWins,int,NO,NULL
HorseStatistic,UpdatedAt,datetime2,NO,NULL
JockeyContract,ContractId,int,NO,NULL
JockeyContract,CreatedAt,datetime2,NO,NULL
JockeyContract,EndDate,datetime2,NO,NULL
JockeyContract,HorseId,int,NO,NULL
JockeyContract,JockeyId,int,NO,NULL
JockeyContract,StartDate,datetime2,NO,NULL
JockeyContract,Status,nvarchar,NO,-1
JockeyContract,TournamentId,bigint,NO,NULL
JockeyProfile,ExperienceYears,int,NO,NULL
JockeyProfile,JockeyId,int,NO,NULL
JockeyProfile,RankingPoint,int,NO,NULL
JockeyProfile,Status,nvarchar,NO,-1
JockeyProfile,UserId,int,NO,NULL
Notification,CreatedAt,datetime2,NO,NULL
Notification,Id,int,NO,NULL
