TABLE_NAME,CONSTRAINT_NAME,CONSTRAINT_TYPE,COLUMN_NAME
----------,---------------,---------------,-----------
AppUser,FK_AppUser_Role_RoleId,FOREIGN KEY,RoleId
AppUser,PK_AppUser,PRIMARY KEY,UserId
Bet,FK_Bet_AppUser_UserId,FOREIGN KEY,UserId
Bet,FK_Bet_Horse_HorseId,FOREIGN KEY,HorseId
Bet,FK_Bet_Race_RaceId,FOREIGN KEY,RaceId
Bet,PK_Bet,PRIMARY KEY,Id
Horse,FK_Horse_AppUser_OwnerId,FOREIGN KEY,OwnerId
Horse,FK_Horse_Registration_RegistrationId,FOREIGN KEY,RegistrationId
Horse,PK_Horse,PRIMARY KEY,Id
HorseDocument,FK_HorseDocument_Horse_HorseId,FOREIGN KEY,HorseId
HorseDocument,PK_HorseDocument,PRIMARY KEY,Id
HorseStatistic,FK_HorseStatistic_Horse_HorseId,FOREIGN KEY,HorseId
HorseStatistic,PK_HorseStatistic,PRIMARY KEY,Id
JockeyContract,FK_JockeyContract_AppUser_JockeyId,FOREIGN KEY,JockeyId
JockeyContract,FK_JockeyContract_AppUser_OwnerId,FOREIGN KEY,OwnerId
JockeyContract,FK_JockeyContract_Horse_HorseId,FOREIGN KEY,HorseId
JockeyContract,PK_JockeyContract,PRIMARY KEY,Id
JockeyProfile,FK_JockeyProfile_AppUser_UserId,FOREIGN KEY,UserId
JockeyProfile,PK_JockeyProfile,PRIMARY KEY,JockeyId
Notification,FK_Notification_AppUser_UserId,FOREIGN KEY,UserId
Notification,PK_Notification,PRIMARY KEY,Id
Payout,FK_Payout_Bet_BetId,FOREIGN KEY,BetId
Payout,PK_Payout,PRIMARY KEY,Id
Prediction,PK_Prediction,PRIMARY KEY,Id
Prize,FK_Prize_Tournament_TournamentId,FOREIGN KEY,TournamentId
Prize,PK_Prize,PRIMARY KEY,Id
Race,FK_Race_Round_RoundId,FOREIGN KEY,RoundId
Race,PK_Race,PRIMARY KEY,RaceId
RaceEntry,FK_RaceEntry_AppUser_JockeyId,FOREIGN KEY,JockeyId
RaceEntry,FK_RaceEntry_Horse_HorseId,FOREIGN KEY,HorseId
RaceEntry,FK_RaceEntry_Horse_HorseId1,FOREIGN KEY,HorseId1
RaceEntry,FK_RaceEntry_Race_RaceId,FOREIGN KEY,RaceId
RaceEntry,PK_RaceEntry,PRIMARY KEY,Id
RaceRefereeAssignment,FK_RaceRefereeAssignment_Race_RaceId,FOREIGN KEY,RaceId
RaceRefereeAssignment,FK_RaceRefereeAssignment_RefereeProfile_RefereeId,FOREIGN KEY,RefereeId
RaceRefereeAssignment,PK_RaceRefereeAssignment,PRIMARY KEY,AssignmentId
RaceResult,FK_RaceResult_Race_RaceId,FOREIGN KEY,RaceId
RaceResult,PK_RaceResult,PRIMARY KEY,Id
RaceViolation,FK_RaceViolation_Race_RaceId,FOREIGN KEY,RaceId
RaceViolation,PK_RaceViolation,PRIMARY KEY,Id
RefereeProfile,FK_RefereeProfile_AppUser_UserId,FOREIGN KEY,UserId
RefereeProfile,PK_RefereeProfile,PRIMARY KEY,RefereeId
RefereeReport,FK_RefereeReport_AppUser,FOREIGN KEY,ReportedUserId
RefereeReport,FK_RefereeReport_Horse,FOREIGN KEY,ReportedHorseId
RefereeReport,FK_RefereeReport_Race_RaceId,FOREIGN KEY,RaceId
RefereeReport,FK_RefereeReport_RefereeProfile_RefereeId,FOREIGN KEY,RefereeId
RefereeReport,PK_RefereeReport,PRIMARY KEY,Id
Registration,FK_Registration_Horse_HorseId,FOREIGN KEY,HorseId
Registration,FK_Registration_Tournament_TournamentId,FOREIGN KEY,TournamentId
Registration,PK_Registration,PRIMARY KEY,Id
Role,PK_Role,PRIMARY KEY,RoleId
Round,FK_Round_Tournament_TournamentId,FOREIGN KEY,TournamentId
Round,PK_Round,PRIMARY KEY,RoundId
Tournament,PK_Tournament,PRIMARY KEY,TournamentId
TournamentPrizePayout,FK_TournamentPrizePayout_AppUser_UserId,FOREIGN KEY,UserId
TournamentPrizePayout,FK_TournamentPrizePayout_Tournament_TournamentId,FOREIGN KEY,TournamentId
TournamentPrizePayout,PK_TournamentPrizePayout,PRIMARY KEY,Id
Wallet,FK_Wallet_AppUser_UserId,FOREIGN KEY,UserId
Wallet,PK_Wallet,PRIMARY KEY,WalletId
WalletTransaction,FK_WalletTransaction_Wallet_WalletId,FOREIGN KEY,WalletId
WalletTransaction,PK_WalletTransaction,PRIMARY KEY,Id

(61 rows affected)
