TableName,IndexName,is_unique,ColumnName,key_ordinal
---------,---------,---------,----------,-----------
AppUser,IX_AppUser_RoleId,0,RoleId,1
AppUser,PK_AppUser,1,UserId,1
Bet,IX_Bet_HorseId,0,HorseId,1
Bet,IX_Bet_RaceId,0,RaceId,1
Bet,IX_Bet_UserId,0,UserId,1
Bet,PK_Bet,1,Id,1
Horse,IX_Horse_OwnerId,0,OwnerId,1
Horse,IX_Horse_RegistrationId,0,RegistrationId,1
Horse,PK_Horse,1,Id,1
HorseDocument,IX_HorseDocument_HorseId,0,HorseId,1
HorseDocument,PK_HorseDocument,1,Id,1
HorseStatistic,IX_HorseStatistic_HorseId,1,HorseId,1
HorseStatistic,PK_HorseStatistic,1,Id,1
JockeyContract,IX_JockeyContract_HorseId,0,HorseId,1
JockeyContract,IX_JockeyContract_JockeyId,0,JockeyId,1
JockeyContract,IX_JockeyContract_OwnerId,0,OwnerId,1
JockeyContract,PK_JockeyContract,1,Id,1
JockeyProfile,IX_JockeyProfile_UserId,1,UserId,1
JockeyProfile,PK_JockeyProfile,1,JockeyId,1
Notification,IX_Notification_UserId,0,UserId,1
Notification,PK_Notification,1,Id,1
Payout,IX_Payout_BetId,0,BetId,1
Payout,PK_Payout,1,Id,1
Prediction,PK_Prediction,1,Id,1
Prize,IX_Prize_TournamentId,0,TournamentId,1
Prize,PK_Prize,1,Id,1
Race,IX_Race_RoundId,0,RoundId,1
Race,PK_Race,1,RaceId,1
RaceEntry,IX_RaceEntry_HorseId,0,HorseId,1
RaceEntry,IX_RaceEntry_HorseId1,0,HorseId1,1
RaceEntry,IX_RaceEntry_JockeyId,0,JockeyId,1
RaceEntry,IX_RaceEntry_RaceId,0,RaceId,1
RaceEntry,PK_RaceEntry,1,Id,1
RaceRefereeAssignment,IX_RaceRefereeAssignment_RaceId,0,RaceId,1
RaceRefereeAssignment,IX_RaceRefereeAssignment_RefereeId,0,RefereeId,1
RaceRefereeAssignment,PK_RaceRefereeAssignment,1,AssignmentId,1
RaceResult,PK_RaceResult,1,Id,1
RaceViolation,IX_RaceViolation_RaceId,0,RaceId,1
RaceViolation,PK_RaceViolation,1,Id,1
RefereeProfile,IX_RefereeProfile_UserId,1,UserId,1
RefereeProfile,PK_RefereeProfile,1,RefereeId,1
RefereeReport,IX_RefereeReport_RaceId,0,RaceId,1
RefereeReport,IX_RefereeReport_RefereeId,0,RefereeId,1
RefereeReport,PK_RefereeReport,1,Id,1
Registration,IX_Registration_HorseId,0,HorseId,1
Registration,IX_Registration_TournamentId,0,TournamentId,1
Registration,PK_Registration,1,Id,1
Role,PK_Role,1,RoleId,1
Round,IX_Round_TournamentId,0,TournamentId,1
Round,PK_Round,1,RoundId,1
Tournament,PK_Tournament,1,TournamentId,1
TournamentPrizePayout,IX_TournamentPrizePayout_TournamentId,0,TournamentId,1
TournamentPrizePayout,IX_TournamentPrizePayout_UserId,0,UserId,1
TournamentPrizePayout,PK_TournamentPrizePayout,1,Id,1
Wallet,IX_Wallet_UserId,1,UserId,1
Wallet,PK_Wallet,1,WalletId,1
WalletTransaction,IX_WalletTransaction_WalletId,0,WalletId,1
WalletTransaction,PK_WalletTransaction,1,Id,1

(58 rows affected)
